,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
S01000561,"1,012",469,543,"1,012",-,6,21,48.72
S01000562,847,399,448,847,-,3,15,56.46
S01000563,"1,145",596,549,"1,122",23,10,63,18.27
S01000564,927,450,477,919,8,3,17,56.05
S01000565,796,379,417,796,-,2,32,24.68
S01000566,867,438,429,867,-,5,37,23.54
S01000567,824,421,403,824,-,5,22,38.05
S01000568,526,256,270,525,1,4,16,31.99
S01000569,759,376,383,759,-,5,21,36.65
S01000570,892,415,477,892,-,5,48,18.54
S01000571,803,347,456,776,27,6,28,28.57
S01000572,711,353,358,711,-,11,15,47.65
S01000573,538,266,272,538,-,6,13,40.12
S01000574,750,346,404,700,50,6,32,23.22
S01000575,640,304,336,640,-,3,11,58.72
S01000576,542,260,282,542,-,2,13,43.11
S01000577,567,263,304,543,24,3,16,35.27
S01000578,633,298,335,633,-,10,13,47.95
S01000579,884,432,452,859,25,7,32,27.61
S01000580,956,468,488,956,-,11,"1,166",0.82
S01000581,700,336,364,700,-,6,26,26.54
S01000582,648,313,335,648,-,6,11,60.49
S01000583,939,464,475,939,-,4,20,46.18
S01000584,840,389,451,840,-,2,23,36.16
S01000585,"1,224",582,642,"1,224",-,5,43,28.45
S01000586,722,350,372,722,-,4,30,23.96
S01000587,658,296,362,658,-,3,12,53.45
S01000588,576,265,311,558,18,6,12,47.75
S01000589,709,341,368,707,2,3,20,35
S01000590,846,393,453,788,58,11,27,31.9
S01000591,775,366,409,775,-,7,67,11.54
S01000592,875,399,476,865,10,5,40,21.79
S01000593,"1,555",767,788,"1,428",127,13,"3,562",0.44
S01000594,"1,331",653,678,"1,250",81,10,"1,632",0.82
S01000595,758,356,402,758,-,8,18,41.7
S01000596,795,377,418,795,-,15,36,22.17
S01000597,965,464,501,965,-,11,27,36.23
S01000598,"1,348",691,657,"1,348",-,16,"1,332",1.01
S01000599,"1,145",551,594,"1,145",-,24,"2,741",0.42
S01000600,776,392,384,776,-,5,693,1.12
S01000601,"1,232",616,616,"1,232",-,21,"3,486",0.35
S01000602,743,367,376,743,-,2,"2,004",0.37
S01000603,"1,022",491,531,"1,022",-,13,"3,027",0.34
S01000604,976,462,514,914,62,7,80,12.19
S01000605,813,392,421,739,74,20,88,9.19
S01000606,860,406,454,820,40,2,19,46.04
S01000607,752,361,391,750,2,8,25,30.24
S01000608,"1,195",581,614,"1,195",-,5,17,69.38
S01000609,"1,051",513,538,"1,047",4,5,17,63.28
S01000610,804,409,395,804,-,4,29,28.14
S01000611,631,307,324,631,-,6,11,56.56
S01000612,"1,039",492,547,"1,039",-,5,28,37.42
S01000613,"1,047",482,565,"1,024",23,15,41,25.38
S01000614,678,325,353,678,-,5,33,20.35
S01000615,809,344,465,768,41,3,28,29.32
S01000616,"1,442",755,687,"1,389",53,21,"3,865",0.37
S01000617,665,328,337,665,-,5,16,40.38
S01000618,815,396,419,815,-,5,24,33.87
S01000619,708,342,366,708,-,4,16,43.71
S01000620,"1,169",554,615,"1,169",-,5,25,47.52
S01000621,"1,082",503,579,"1,078",4,5,28,38.99
S01000622,768,358,410,768,-,2,14,55.96
S01000623,769,367,402,769,-,4,13,57.7
S01000624,616,287,329,616,-,2,10,62.5
S01000625,641,297,344,641,-,-,10,63.44
S01000626,804,413,391,804,-,3,20,39.81
S01000627,849,415,434,849,-,1,25,34.32
S01000628,580,270,310,580,-,4,12,49.33
S01000629,911,443,468,851,60,6,95,9.59
S01000630,738,351,387,738,-,4,24,30.69
S01000631,612,283,329,612,-,3,29,21.11
S01000632,539,277,262,539,-,2,"6,146",0.09
S01000633,523,268,255,523,-,4,9,55.89
S01000634,735,354,381,735,-,5,32,22.86
S01000635,643,297,346,643,-,4,13,50.86
S01000636,521,269,252,521,-,11,"6,165",0.08
S01000637,648,335,313,648,-,11,"4,295",0.15
S01000638,589,297,292,560,29,6,"1,466",0.4
S01000639,641,318,323,641,-,13,"3,308",0.19
S01000640,721,368,353,717,4,17,"3,362",0.21
S01000641,814,396,418,814,-,13,"2,069",0.39
S01000642,908,444,464,908,-,17,"3,008",0.3
S01000643,675,342,333,673,2,9,"1,654",0.41
S01000644,711,321,390,711,-,11,31,23.29
S01000645,980,472,508,956,24,12,"4,151",0.24
S01000646,782,377,405,782,-,7,24,32.23
S01000647,777,362,415,777,-,3,17,44.66
S01000648,896,424,472,884,12,3,12,76.55
S01000649,596,310,286,594,2,14,"5,416",0.11
S01000650,712,353,359,712,-,2,14,51.72
S01000651,886,423,463,870,16,10,40,22.11
S01000652,774,367,407,744,30,7,71,10.95
S01000653,994,451,543,978,16,3,26,37.99
S01000654,971,460,511,921,50,5,30,32.91
S01000655,792,380,412,792,-,3,8,95.26
S01000656,799,390,409,799,-,8,19,42.41
S01000657,816,385,431,793,23,2,20,41.31
S01000658,606,298,308,606,-,5,12,49.81
S01000659,"1,321",630,691,"1,321",-,17,73,18.02
S01000660,"1,026",489,537,970,56,15,50,20.67
S01000661,822,400,422,822,-,3,39,21.05
S01000662,734,375,359,734,-,3,"2,386",0.31
S01000663,811,400,411,798,13,6,27,30.25
S01000664,851,433,418,851,-,8,"3,275",0.26
S01000665,669,330,339,669,-,3,"2,487",0.27
S01000666,528,268,260,528,-,6,645,0.82
S01000667,987,480,507,957,30,8,26,37.83
S01000668,864,401,463,864,-,4,23,37.4
S01000669,827,410,417,826,1,7,23,35.48
S01000670,669,322,347,668,1,7,25,26.67
S01000671,590,270,320,551,39,6,29,20.63
S01000672,713,344,369,713,-,4,25,28.59
S01000673,721,343,378,721,-,9,24,29.61
S01000674,"1,080",539,541,"1,064",16,9,"2,663",0.41
S01000675,714,343,371,714,-,13,40,17.79
S01000676,457,231,226,457,-,4,"4,523",0.1
S01000677,877,431,446,877,-,14,"5,401",0.16
S01000678,901,453,448,898,3,2,46,19.59
S01000679,779,361,418,779,-,3,20,38.74
S01000680,967,495,472,967,-,3,59,16.28
S01000681,990,486,504,990,-,3,19,51.96
S01000682,768,352,416,702,66,8,19,40.64
S01000683,546,265,281,546,-,1,47,11.58
S01000684,740,339,401,726,14,1,9,82.19
S01000685,912,434,478,873,39,7,28,32.82
S01000686,770,365,405,770,-,9,25,30.81
S01000687,827,394,433,827,-,6,26,32.17
S01000688,722,347,375,694,28,2,26,28.12
S01000689,648,337,311,648,-,18,"4,873",0.13
S01000690,992,505,487,992,-,20,26,37.92
S01000691,808,397,411,808,-,4,40,20.26
S01000692,750,362,388,742,8,2,34,21.94
S01000693,"1,015",471,544,"1,015",-,3,20,51.77
S01000694,701,359,342,701,-,4,17,41.35
S01000695,788,388,400,788,-,8,31,25.12
S01000696,774,384,390,774,-,5,18,43.66
S01000697,958,472,486,954,4,3,"1,987",0.48
S01000698,620,308,312,619,1,4,18,34.7
S01000699,630,314,316,613,17,-,42,14.93
S01000700,806,401,405,806,-,1,605,1.33
S01000701,"1,017",479,538,969,48,8,704,1.45
S01000702,514,239,275,514,-,9,17,30.93
S01000703,739,349,390,739,-,1,13,55.37
S01000704,979,541,438,885,94,15,"8,470",0.12
S01000705,"1,146",557,589,"1,131",15,17,133,8.59
S01000706,859,440,419,859,-,16,"3,193",0.27
S01000707,625,318,307,618,7,4,"3,161",0.2
S01000708,565,293,272,558,7,14,"27,104",0.02
S01000709,"1,023",470,553,992,31,16,"2,008",0.51
S01000710,"1,108",571,537,"1,106",2,12,"77,199",0.01
S01000711,505,259,246,505,-,4,"18,141",0.03
S01000712,621,290,331,610,11,10,61,10.11
S01000713,752,369,383,752,-,11,22,34.09
S01000714,986,501,485,986,-,19,"5,428",0.18
S01000715,658,296,362,654,4,6,26,25.1
S01000716,535,295,240,500,35,1,27,19.84
S01000717,915,436,479,915,-,5,21,43.17
S01000718,810,379,431,810,-,7,15,53.26
S01000719,641,297,344,616,25,17,85,7.53
S01000720,778,379,399,766,12,10,"18,040",0.04
S01000721,702,343,359,702,-,16,"20,361",0.03
S01000722,846,413,433,846,-,17,51,16.71
S01000723,460,236,224,457,3,12,"29,873",0.02
S01000724,784,369,415,763,21,8,40,19.62
S01000725,595,305,290,586,9,12,"33,657",0.02
S01000726,760,367,393,755,5,9,"14,796",0.05
S01000727,610,280,330,600,10,4,44,13.85
S01000728,651,326,325,649,2,11,"12,090",0.05
S01000729,491,232,259,491,-,9,27,18.45
S01000730,457,222,235,457,-,7,26,17.69
S01000731,595,270,325,595,-,7,11,55.42
S01000732,543,267,276,533,10,1,13,42.36
S01000733,672,333,339,663,9,5,27,25.25
S01000734,826,376,450,797,29,17,72,11.45
S01000735,443,201,242,438,5,3,17,26.85
S01000736,740,350,390,730,10,12,35,21.19
S01000737,470,226,244,470,-,5,24,19.9
S01000738,449,221,228,448,1,10,37,11.98
S01000739,730,360,370,730,-,6,65,11.17
S01000740,658,334,324,650,8,14,"5,396",0.12
S01000741,786,376,410,786,-,7,73,10.76
S01000742,642,296,346,642,-,10,"8,661",0.07
S01000743,901,443,458,814,87,16,94,9.61
S01000744,740,353,387,738,2,8,25,30.12
S01000745,716,348,368,716,-,4,17,42.26
S01000746,786,394,392,786,-,9,14,54.35
S01000747,562,263,299,556,6,6,20,27.69
S01000748,465,220,245,465,-,5,15,30.54
S01000749,541,260,281,541,-,4,11,51.44
S01000750,687,315,372,679,8,12,25,27.8
S01000751,722,362,360,722,-,6,22,32.93
S01000752,977,448,529,977,-,2,17,56.32
S01000753,596,281,315,596,-,6,22,27.44
S01000754,787,361,426,729,58,10,21,37.25
S01000755,706,339,367,701,5,20,"60,256",0.01
S01000756,"1,043",508,535,983,60,9,51,20.29
S01000757,770,372,398,719,51,5,119,6.49
S01000758,"1,286",641,645,"1,268",18,21,"2,605",0.49
S01000759,985,461,524,985,-,10,55,17.84
S01000760,531,265,266,531,-,4,34,15.82
S01000761,606,306,300,605,1,5,627,0.97
S01000762,610,282,328,610,-,5,19,31.93
S01000763,747,359,388,743,4,27,"23,755",0.03
S01000764,676,321,355,676,-,8,22,31.25
S01000765,825,416,409,825,-,16,27,30.18
S01000766,699,332,367,699,-,8,22,31.29
S01000767,642,327,315,642,-,-,12,55.37
S01000768,783,349,434,783,-,5,16,47.61
S01000769,787,400,387,785,2,2,16,48.76
S01000770,703,339,364,703,-,-,12,59.91
S01000771,943,479,464,937,6,9,51,18.5
S01000772,640,287,353,640,-,10,22,29.02
S01000773,826,376,450,826,-,5,27,30.28
S01000774,831,407,424,831,-,3,26,32.08
S01000775,810,354,456,653,157,15,36,22.43
S01000776,572,273,299,572,-,9,64,8.93
S01000777,325,150,175,325,-,5,5,67.35
S01000778,466,219,247,450,16,6,27,17.34
S01000779,793,398,395,793,-,14,34,23.58
S01000780,849,396,453,844,5,4,31,27.8
S01000781,806,390,416,806,-,33,44,18.29
S01000782,680,340,340,680,-,18,22,31.16
S01000783,464,238,226,464,-,3,687,0.68
S01000784,803,398,405,778,25,20,53,15.15
S01000785,714,329,385,714,-,18,"1,395",0.51
S01000786,749,368,381,749,-,15,58,12.96
S01000787,498,262,236,488,10,12,"26,924",0.02
S01000788,656,323,333,650,6,9,48,13.74
S01000789,742,376,366,725,17,16,67,11.01
S01000790,512,233,279,470,42,22,100,5.14
S01000791,607,296,311,607,-,10,25,24.74
S01000792,664,327,337,664,-,14,"2,051",0.32
S01000793,675,335,340,639,36,22,"1,120",0.6
S01000794,861,408,453,861,-,17,36,24.09
S01000795,940,462,478,937,3,20,46,20.44
S01000796,428,225,203,426,2,12,"13,050",0.03
S01000797,449,220,229,449,-,4,9,49.36
S01000798,484,224,260,484,-,3,14,35.32
S01000799,"1,589","1,203",386,680,909,8,"3,839",0.41
S01000800,947,488,459,916,31,33,"27,180",0.03
S01000801,635,316,319,635,-,9,"5,773",0.11
S01000802,770,367,403,770,-,16,"9,820",0.08
S01000803,972,482,490,965,7,28,"19,996",0.05
S01000804,912,457,455,843,69,8,"17,660",0.05
S01000805,803,378,425,793,10,14,"20,383",0.04
S01000806,808,391,417,808,-,13,"3,494",0.23
S01000807,769,394,375,734,35,7,"19,200",0.04
S01000808,749,386,363,713,36,23,"28,792",0.03
S01000809,616,268,348,562,54,18,"8,753",0.07
S01000810,735,370,365,731,4,20,"13,675",0.05
S01000811,798,403,395,792,6,22,"1,709",0.47
S01000812,"1,347",632,715,"1,300",47,11,104,12.99
S01000813,771,383,388,771,-,11,34,22.83
S01000814,786,364,422,786,-,8,7,109.12
S01000815,520,244,276,520,-,2,15,35.59
S01000816,563,287,276,544,19,2,31,18.39
S01000817,916,453,463,865,51,10,56,16.36
S01000818,911,469,442,880,31,13,33,27.43
S01000819,882,443,439,825,57,20,"74,639",0.01
S01000820,554,272,282,534,20,13,"52,598",0.01
S01000821,854,415,439,785,69,5,35,24.21
S01000822,532,249,283,532,-,4,22,24.67
S01000823,502,251,251,464,38,2,21,24.19
S01000824,756,350,406,756,-,17,"1,508",0.5
S01000825,739,358,381,723,16,13,"4,154",0.18
S01000826,625,308,317,625,-,4,22,27.88
S01000827,736,360,376,736,-,20,"9,043",0.08
S01000828,925,441,484,868,57,23,"5,789",0.16
S01000829,693,336,357,684,9,19,"15,397",0.05
S01000830,872,409,463,833,39,24,"30,218",0.03
S01000831,848,392,456,841,7,27,"15,518",0.05
S01000832,954,459,495,939,15,22,148,6.45
S01000833,"1,164",578,586,"1,158",6,8,775,1.5
S01000834,980,473,507,980,-,4,21,47.63
S01000835,774,364,410,774,-,1,17,46.91
S01000836,785,408,377,785,-,-,18,44.52
S01000837,984,512,472,984,-,3,64,15.32
S01000838,623,286,337,623,-,2,26,24.1
S01000839,"1,355",663,692,"1,355",-,4,91,14.84
S01000840,686,316,370,686,-,-,20,34.71
S01000841,988,453,535,988,-,7,38,26.15
S01000842,867,433,434,867,-,9,"2,076",0.42
S01000843,910,437,473,901,9,8,32,28.49
S01000844,787,381,406,774,13,6,24,33.21
S01000845,540,265,275,540,-,7,14,37.86
S01000846,680,318,362,680,-,1,14,47.77
S01000847,974,457,517,974,-,5,28,35.13
S01000848,651,304,347,651,-,4,191,3.42
S01000849,479,227,252,479,-,6,7,65.74
S01000850,699,339,360,699,-,3,12,57.77
S01000851,714,353,361,714,-,7,18,38.81
S01000852,725,354,371,717,8,3,39,18.61
S01000853,554,247,307,554,-,2,10,57.76
S01000854,846,393,453,846,-,3,39,21.64
S01000855,716,346,370,669,47,6,178,4.03
S01000856,512,257,255,512,-,1,610,0.84
S01000857,507,248,259,507,-,3,16,30.81
S01000858,910,446,464,910,-,9,82,11.15
S01000859,"1,129",551,578,"1,129",-,15,41,27.33
S01000860,891,396,495,853,38,2,14,65.38
S01000861,643,297,346,643,-,10,16,39.07
S01000862,523,254,269,523,-,2,14,38.3
S01000863,542,273,269,542,-,1,13,40.7
S01000864,"1,172",569,603,"1,172",-,3,31,37.21
S01000865,"1,080",532,548,"1,033",47,6,31,35.08
S01000866,853,405,448,853,-,4,21,40.11
S01000867,895,429,466,895,-,3,20,44.77
S01000868,703,330,373,703,-,5,10,68.82
S01000869,595,286,309,595,-,2,7,85.2
S01000870,865,409,456,865,-,6,15,57.9
S01000871,818,370,448,782,36,6,427,1.91
S01000872,798,386,412,798,-,12,"3,715",0.21
S01000873,"3,097","1,817","1,280","2,440",657,21,"3,264",0.95
S01000874,496,241,255,496,-,2,14,34.84
S01000875,"1,427",704,723,"1,427",-,7,33,42.95
S01000876,681,343,338,668,13,4,36,19.02
S01000877,675,320,355,674,1,-,45,15.12
S01000878,554,265,289,554,-,10,41,13.52
S01000879,945,428,517,936,9,36,282,3.35
S01000880,787,380,407,787,-,9,23,34.2
S01000881,642,306,336,642,-,3,10,64.58
S01000882,887,414,473,887,-,9,15,59.18
S01000883,813,391,422,813,-,8,31,26.41
S01000884,590,272,318,550,40,9,29,20.13
S01000885,480,239,241,478,2,21,20,24.29
S01000886,649,337,312,645,4,5,12,54.17
S01000887,723,349,374,723,-,2,25,29.38
S01000888,661,326,335,658,3,6,21,31.51
S01000889,686,333,353,686,-,6,19,37.03
S01000890,748,371,377,746,2,4,14,55.13
S01000891,924,451,473,856,68,24,68,13.56
S01000892,541,248,293,541,-,23,"1,536",0.35
S01000893,625,311,314,625,-,33,22,28.66
S01000894,493,228,265,493,-,6,20,24.11
S01000895,916,447,469,916,-,14,42,21.82
S01000896,485,243,242,485,-,18,"1,410",0.34
S01000897,680,319,361,678,2,6,"4,939",0.14
S01000898,526,259,267,526,-,4,"4,157",0.13
S01000899,829,399,430,829,-,4,43,19.28
S01000900,627,318,309,626,1,10,"7,508",0.08
S01000901,605,300,305,603,2,7,"3,859",0.16
S01000902,943,487,456,943,-,5,"2,025",0.47
S01000903,"1,014",488,526,997,17,11,"6,849",0.15
S01000904,696,358,338,696,-,6,"4,735",0.15
S01000905,692,321,371,690,2,19,"8,017",0.09
S01000906,536,250,286,504,32,7,909,0.59
S01000907,734,357,377,734,-,2,36,20.18
S01000908,751,383,368,735,16,7,26,29.43
S01000909,951,459,492,897,54,20,"8,498",0.11
S01000910,842,431,411,842,-,11,"3,809",0.22
S01000911,"1,034",500,534,"1,031",3,24,"3,414",0.3
S01000912,653,322,331,653,-,6,"1,812",0.36
S01000913,611,295,316,611,-,6,"2,673",0.23
S01000914,701,331,370,695,6,17,"2,946",0.24
S01000915,900,440,460,900,-,7,"4,504",0.2
S01000916,"1,046",509,537,"1,044",2,7,"7,638",0.14
S01000917,677,339,338,677,-,11,"13,208",0.05
S01000918,551,261,290,550,1,11,"2,374",0.23
S01000919,631,302,329,631,-,7,"2,911",0.22
S01000920,597,292,305,597,-,17,"3,763",0.16
S01000921,667,334,333,661,6,15,"5,791",0.12
S01000922,965,453,512,920,45,16,"5,530",0.17
S01000923,862,417,445,862,-,8,749,1.15
S01000924,861,408,453,861,-,11,21,40.47
S01000925,"1,005",501,504,"1,005",-,13,"6,823",0.15
S01000926,"1,010",467,543,953,57,11,21,47.66
S01000927,913,437,476,883,30,6,19,47.23
S01000928,980,487,493,978,2,7,"10,422",0.09
S01000929,481,210,271,481,-,1,7,67.7
S01000930,540,243,297,540,-,1,14,38.45
S01000931,654,309,345,654,-,4,30,21.98
S01000932,"1,027",501,526,992,35,19,"2,168",0.47
S01000933,"1,032",490,542,"1,032",-,6,40,25.52
S01000934,903,452,451,893,10,9,24,37.29
S01000935,767,369,398,767,-,5,22,35.13
S01000936,856,391,465,856,-,14,46,18.53
S01000937,558,286,272,548,10,6,23,24.14
S01000938,783,384,399,783,-,7,15,50.87
S01000939,739,343,396,738,1,7,32,22.96
S01000940,902,427,475,848,54,8,49,18.43
S01000941,478,231,247,478,-,3,15,30.91
S01000942,"1,018",485,533,975,43,13,"3,196",0.32
S01000943,830,389,441,830,-,27,41,20.2
S01000944,837,388,449,819,18,10,50,16.65
S01000945,739,356,383,737,2,8,29,25.74
S01000946,775,371,404,775,-,5,34,22.97
S01000947,687,327,360,685,2,7,"1,242",0.55
S01000948,844,429,415,844,-,19,"6,216",0.14
S01000949,610,292,318,610,-,8,"1,637",0.37
S01000950,825,390,435,772,53,17,"14,611",0.06
S01000951,861,438,423,858,3,8,46,18.59
S01000952,876,409,467,866,10,17,625,1.4
S01000953,874,421,453,874,-,17,454,1.93
S01000954,"1,116",536,580,"1,102",14,18,"10,170",0.11
S01000955,627,308,319,627,-,12,996,0.63
S01000956,851,412,439,851,-,2,17,50.46
S01000957,542,266,276,540,2,14,"11,011",0.05
S01000958,797,391,406,797,-,8,18,45.35
S01000959,700,346,354,697,3,4,88,7.93
S01000960,566,259,307,527,39,6,32,17.45
S01000961,843,406,437,841,2,8,37,22.8
S01000962,660,315,345,652,8,7,32,20.53
S01000963,843,415,428,843,-,4,21,40.43
S01000964,989,476,513,984,5,16,"5,701",0.17
S01000965,642,301,341,642,-,3,11,56.08
S01000966,"1,086",502,584,"1,041",45,7,18,59.93
S01000967,578,266,312,578,-,3,11,50.99
S01000968,"1,056",521,535,977,79,17,"9,124",0.12
S01000969,908,419,489,908,-,3,37,24.37
S01000970,788,375,413,788,-,3,25,31.76
S01000971,729,371,358,729,-,5,12,62.64
S01000972,922,440,482,916,6,9,47,19.74
S01000973,660,320,340,660,-,4,13,49.64
S01000974,"1,227",609,618,"1,219",8,20,35,35.41
S01000975,647,324,323,646,1,15,"4,617",0.14
S01000976,507,238,269,505,2,6,"2,138",0.24
S01000977,921,449,472,900,21,3,124,7.4
S01000978,820,422,398,820,-,8,"2,909",0.28
S01000979,703,338,365,703,-,12,"1,473",0.48
S01000980,677,343,334,672,5,6,"31,922",0.02
S01000981,686,353,333,681,5,5,"3,932",0.17
S01000982,736,370,366,711,25,12,"3,574",0.21
S01000983,534,265,269,533,1,4,"3,569",0.15
S01000984,620,289,331,620,-,10,"4,320",0.14
S01000985,714,336,378,714,-,9,"1,698",0.42
S01000986,611,269,342,588,23,4,"1,144",0.53
S01000987,637,314,323,627,10,12,"2,453",0.26
S01000988,565,292,273,565,-,8,"3,310",0.17
S01000989,813,394,419,809,4,10,"3,917",0.21
S01000990,840,413,427,808,32,10,483,1.74
S01000991,435,218,217,428,7,6,"2,781",0.16
S01000992,"1,095",512,583,"1,047",48,8,368,2.97
S01000993,843,399,444,799,44,5,"1,252",0.67
S01000994,"1,104",543,561,"1,050",54,13,"2,801",0.39
S01000995,778,397,381,778,-,26,30,25.78
S01000996,"1,122",547,575,"1,037",85,11,66,17.12
S01000997,891,428,463,891,-,16,25,36.14
S01000998,694,330,364,694,-,3,18,39.51
S01000999,650,312,338,650,-,8,17,38.06
S01001000,576,287,289,574,2,12,11,52.57
S01001001,551,286,265,549,2,7,"10,365",0.05
S01001002,631,302,329,631,-,8,12,53.72
S01001003,828,404,424,828,-,10,17,48.03
S01001004,661,308,353,661,-,10,16,42.3
S01001005,844,390,454,844,-,35,29,29.33
S01001006,702,339,363,702,-,11,19,36.95
S01001007,917,435,482,917,-,6,34,27.11
S01001008,756,355,401,751,5,11,22,34.12
S01001009,614,300,314,614,-,5,15,40.47
S01001010,917,427,490,917,-,3,19,47.84
S01001011,588,299,289,585,3,5,"8,344",0.07
S01001012,744,374,370,731,13,13,15,48.09
S01001013,895,505,390,699,196,13,24,36.79
S01001014,844,443,401,842,2,4,35,24.11
S01001015,515,220,295,456,59,2,31,16.46
S01001016,823,419,404,821,2,11,"36,301",0.02
S01001017,858,387,471,858,-,5,22,38.79
S01001018,798,369,429,798,-,6,18,45.5
S01001019,"1,056",483,573,"1,048",8,6,27,39.21
S01001020,548,274,274,548,-,1,13,41.36
S01001021,"1,022",479,543,"1,012",10,16,29,35
S01001022,835,415,420,794,41,19,48,17.39
S01001023,999,498,501,998,1,22,"5,996",0.17
S01001024,"1,862",859,"1,003","1,777",85,14,611,3.05
S01001025,"1,264",617,647,"1,260",4,15,656,1.93
S01001026,886,420,466,886,-,4,"2,027",0.44
S01001027,906,425,481,906,-,13,63,14.41
S01001028,774,368,406,774,-,4,66,11.68
S01001029,754,353,401,754,-,5,21,35.9
S01001030,716,347,369,715,1,11,45,16
S01001031,957,446,511,957,-,3,26,37.15
S01001032,692,342,350,692,-,-,10,68.9
S01001033,724,351,373,695,29,5,16,46.7
S01001034,718,331,387,718,-,1,19,36.84
S01001035,509,258,251,509,-,4,26,19.6
S01001036,663,306,357,663,-,-,10,65
S01001037,860,430,430,854,6,4,23,37.48
S01001038,772,374,398,772,-,11,115,6.72
S01001039,539,274,265,539,-,16,"6,311",0.09
S01001040,699,340,359,696,3,10,"1,609",0.43
S01001041,682,326,356,680,2,6,"1,222",0.56
S01001042,991,461,530,991,-,8,32,30.53
S01001043,664,333,331,664,-,6,13,50.97
S01001044,923,450,473,915,8,22,"12,451",0.07
S01001045,656,323,333,656,-,1,13,52.35
S01001046,847,408,439,847,-,14,43,19.71
S01001047,864,388,476,818,46,9,755,1.14
S01001048,579,285,294,579,-,4,46,12.49
S01001049,630,303,327,629,1,2,12,53.96
S01001050,956,494,462,949,7,19,"5,058",0.19
S01001051,638,292,346,638,-,-,13,48.87
S01001052,519,256,263,519,-,4,13,40.34
S01001053,773,393,380,763,10,15,"1,521",0.51
S01001054,714,352,362,711,3,4,"1,682",0.42
S01001055,858,391,467,819,39,4,40,21.66
S01001056,711,354,357,711,-,5,22,32.52
S01001057,639,317,322,602,37,14,"3,408",0.19
S01001058,768,381,387,768,-,9,29,26.83
S01001059,660,314,346,660,-,6,19,34.13
S01001060,706,332,374,706,-,-,15,48.52
S01001061,741,369,372,729,12,4,"4,930",0.15
S01001062,588,313,275,588,-,13,"4,374",0.13
S01001063,884,456,428,884,-,8,"1,622",0.54
S01001064,717,352,365,717,-,11,42,17.03
S01001065,756,363,393,756,-,12,24,31.62
S01001066,772,365,407,772,-,24,"7,016",0.11
S01001067,781,391,390,780,1,5,"21,897",0.04
S01001068,867,426,441,856,11,17,"52,751",0.02
S01001069,856,444,412,856,-,16,"7,950",0.11
S01001070,890,426,464,889,1,9,"12,202",0.07
S01001071,707,349,358,690,17,13,"7,068",0.1
S01001072,898,473,425,896,2,11,"11,550",0.08
S01001073,"1,133",558,575,"1,122",11,21,"5,066",0.22
S01001074,492,251,241,490,2,3,"22,745",0.02
